Tree,Monkey00,Monkey01,Monkey02,Monkey03,Monkey04,Monkey05,Monkey06,Monkey07,Monkey08,Monkey09,Monkey10,Monkey11,Monkey12,Monkey13,Monkey14,Monkey15,Monkey16,Monkey17,Monkey18,Monkey19
21.21,0.00,0.30,0.95,0.28,0.74,0.60,0.00,0.52,0.67,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.44,0.91
0.00,0.29,0.92,2.26,0.60,0.98,0.00,0.00,0.42,2.94,0.00,0.00,0.00,0.00,0.70,0.98,0.00,0.61,0.16,1.78,1.68
0.00,1.94,0.00,3.53,0.00,0.92,0.14,0.00,0.24,2.75,0.00,0.12,0.65,0.00,1.25,1.36,0.00,2.18,0.00,1.42,2.21
3.65,0.80,0.39,3.47,0.00,2.77,1.24,0.00,0.00,6.32,0.00,0.86,0.00,0.41,0.72,1.63,0.43,1.63,0.87,2.19,1.98
0.00,1.65,0.75,3.14,0.00,2.29,1.13,0.00,0.68,6.10,0.00,2.59,2.37,0.57,0.00,0.54,1.44,1.71,0.00,1.67,2.85
0.00,1.08,0.45,3.03,0.24,2.14,2.05,0.61,0.00,5.25,0.49,3.85,3.47,0.50,0.45,0.00,0.48,0.69,0.00,1.89,2.03
0.00,0.00,2.31,3.40,0.03,1.24,2.29,0.35,0.68,5.95,0.79,3.90,3.99,0.00,1.48,0.00,1.90,0.00,0.00,0.32,2.20
194.00,2.60,2.49,3.07,0.00,1.28,2.57,0.32,0.00,7.20,1.29,2.04,5.00,0.00,3.44,0.43,0.29,0.00,0.64,1.03,1.77
293.53,3.17,3.15,1.99,0.32,0.28,3.02,0.10,0.00,6.40,0.63,1.25,4.82,0.36,3.66,0.00,0.00,0.07,0.49,1.90,1.83
456.64,3.61,3.37,0.89,0.86,0.24,2.24,0.74,0.74,7.40,0.52,0.98,5.33,0.63,4.26,0.60,0.00,0.90,1.48,2.66,2.55
362.34,3.24,4.36,1.87,0.00,0.00,1.79,0.40,0.73,7.24,1.48,0.00,5.12,0.21,3.05,1.63,0.00,0.71,1.89,1.89,2.37
233.60,4.30,3.67,0.49,0.00,0.00,0.94,0.00,0.00,8.01,2.80,0.00,5.11,0.00,2.51,0.47,0.13,1.62,1.69,0.49,1.01
281.47,4.06,2.91,0.00,0.80,0.00,0.03,0.00,0.00,7.71,3.40,0.00,3.54,0.95,2.60,0.32,2.11,2.66,1.73,1.07,0.34
369.12,3.87,2.53,0.00,2.35,0.33,0.00,0.06,0.54,8.59,3.51,0.68,3.87,2.45,3.74,1.94,1.75,4.50,1.96,1.56,1.55
333.38,3.72,3.41,0.98,1.09,1.64,1.10,0.00,2.06,8.04,2.83,1.57,2.03,2.40,2.98,1.21,3.01,4.38,1.68,1.51,2.68
368.52,3.40,3.50,1.65,2.10,2.97,0.87,0.02,1.88,9.05,0.59,1.82,1.67,1.70,2.65,0.00,3.49,4.86,2.10,2.47,1.70
328.05,2.61,3.28,1.50,1.46,3.63,0.87,1.15,1.50,8.28,0.91,2.20,3.00,0.00,3.81,0.00,3.58,4.43,1.07,4.07,2.29
153.38,1.73,2.51,1.75,1.70,3.74,0.46,0.80,1.40,9.44,0.69,2.94,1.22,0.00,3.65,0.25,2.89,4.14,1.86,2.76,3.18
170.89,2.15,3.13,1.42,3.19,4.28,0.37,1.60,1.38,10.81,1.96,3.32,0.19,0.00,3.83,0.00,2.61,4.40,1.10,3.21,1.75
89.46,2.34,4.54,0.33,2.81,3.36,0.00,0.81,0.98,10.97,0.06,3.94,0.00,0.00,4.02,0.00,2.59,4.43,2.52,1.72,1.66
99.81,2.55,5.10,0.53,2.61,1.24,1.52,1.84,1.81,11.13,0.00,3.05,0.00,0.00,3.65,0.59,3.83,3.64,2.22,1.51,2.66
0.00,1.95,4.93,2.16,2.96,1.81,2.15,1.83,3.03,9.65,0.00,4.69,0.04,0.75,4.53,2.24,5.54,2.04,0.95,0.83,2.42
95.34,2.33,6.55,1.54,3.12,2.59,2.45,1.58,2.43,9.10,0.00,4.20,0.00,0.00,4.83,2.93,7.49,1.22,0.98,2.45,1.31
44.86,0.49,7.60,2.82,2.42,2.78,4.53,2.36,2.31,8.21,0.74,4.40,0.63,0.00,4.57,4.77,6.54,0.87,1.39,3.21,1.92
0.00,1.81,7.01,2.89,1.29,2.22,4.87,0.55,3.29,9.06,0.19,3.93,0.00,0.20,0.77,5.73,4.19,1.02,0.11,2.82,1.71
0.00,2.48,8.76,3.25,0.17,2.28,5.57,0.00,4.42,8.47,0.33,2.96,0.00,0.87,1.15,6.15,4.40,0.54,0.00,2.41,0.00
0.00,1.90,9.39,1.83,0.00,1.92,4.90,0.99,5.83,7.15,0.00,3.25,0.00,0.72,0.28,7.37,4.82,1.80,0.00,2.29,0.00
0.00,0.00,7.22,1.96,0.00,0.89,4.94,0.00,5.88,7.49,0.00,3.21,0.00,0.00,1.47,5.13,3.72,0.20,1.23,0.73,2.33
0.00,0.61,6.52,1.29,0.69,2.20,4.81,0.00,4.88,8.17,0.64,3.96,1.37,0.00,1.46,5.47,3.60,0.00,2.00,0.07,3.51
0.00,0.77,6.68,0.00,0.00,2.88,5.09,0.00,5.11,8.21,2.25,2.30,1.54,0.00,2.37,6.06,4.93,0.00,1.24,1.04,6.07
0.00,1.99,3.89,0.00,0.34,4.38,4.41,0.00,4.99,8.11,0.48,0.71,2.70,0.00,3.44,5.94,5.82,1.09,0.12,0.57,6.00
0.00,0.11,2.77,0.00,0.00,5.11,5.75,0.00,6.94,8.69,0.24,0.11,3.47,0.00,2.56,7.36,5.09,1.42,1.19,1.02,5.14
103.97,0.00,2.22,0.00,0.00,2.55,2.52,0.00,7.14,8.66,0.12,0.00,3.67,1.46,2.22,7.00,5.48,1.15,1.28,2.41,5.32
158.32,1.18,3.13,0.69,0.28,1.91,2.35,0.00,5.37,5.86,0.00,0.00,4.59,2.95,1.34,6.86,4.62,1.15,2.02,1.48,5.07
6.47,0.87,2.79,0.64,1.00,0.73,2.77,0.35,5.32,4.29,0.00,0.00,4.53,1.72,2.83,7.39,6.04,1.23,0.16,1.15,6.79
58.08,0.31,2.67,1.18,0.92,0.00,2.50,1.02,6.51,3.32,1.39,0.69,4.21,2.20,1.92,7.08,6.12,1.05,1.81,0.84,6.48
249.56,1.30,3.08,1.09,1.59,0.00,1.27,0.41,7.44,3.18,1.70,0.06,5.39,2.38,4.09,7.46,5.39,0.00,2.92,2.17,5.62
326.31,1.91,1.90,0.18,0.48,0.00,1.91,0.00,6.13,4.18,0.00,0.20,4.97,2.41,4.56,5.67,5.24,1.07,2.65,3.05,5.17
337.32,1.60,2.26,0.00,1.43,0.29,2.98,0.00,6.10,4.05,0.00,1.29,3.44,2.96,5.36,5.87,4.39,2.14,3.54,3.16,3.59
359.20,1.62,2.05,0.00,1.45,0.96,3.83,0.00,5.50,4.21,0.70,1.47,5.29,4.21,3.75,5.40,4.44,1.02,3.88,3.00,2.51
345.20,0.65,2.68,0.12,4.40,0.64,3.74,0.44,4.81,5.05,0.00,0.00,6.03,4.49,3.78,3.94,4.80,1.61,4.18,3.25,4.37
344.22,1.46,1.44,1.27,3.19,0.17,3.46,0.03,3.76,4.72,0.00,0.78,6.50,5.52,3.18,5.19,5.92,3.25,1.25,3.81,4.56
255.97,0.60,2.38,0.00,3.90,1.35,4.23,0.15,4.12,5.91,0.00,0.98,6.30,5.68,3.84,4.45,6.11,3.94,0.87,3.52,5.65
143.96,1.86,3.45,0.00,3.76,3.33,4.80,0.76,3.30,5.68,0.00,2.01,5.25,5.43,4.15,6.71,5.54,4.45,0.00,0.88,4.14
12.18,0.03,3.27,0.00,4.76,3.66,6.23,2.33,2.95,7.20,0.00,1.85,4.42,4.14,5.12,7.84,5.44,4.55,0.30,0.49,4.47
0.00,0.00,1.51,0.00,2.31,4.64,4.52,2.32,2.73,7.52,0.48,1.18,5.44,3.61,4.59,7.87,6.29,5.27,1.84,0.00,4.86
0.00,0.17,2.01,0.00,1.84,5.91,4.37,1.00,1.31,7.90,2.11,0.67,6.49,1.60,3.39,7.65,8.16,4.72,1.72,0.00,5.79
0.00,0.00,2.06,0.00,1.93,5.23,6.64,1.77,1.52,8.42,1.67,0.00,6.19,1.39,4.05,7.91,7.12,4.53,2.12,0.00,4.47
192.20,1.19,0.90,1.34,1.79,5.42,6.17,2.99,1.17,9.51,2.30,0.91,4.64,2.67,4.71,6.94,6.98,6.00,2.54,0.00,5.42
0.00,0.84,1.50,1.46,2.42,5.83,7.95,2.54,1.61,8.10,2.38,0.00,5.60,1.95,4.71,7.63,7.57,7.59,0.42,0.00,5.89
55.44,0.95,0.24,3.06,3.48,5.98,8.06,3.65,0.21,6.83,1.74,0.26,5.28,1.40,4.77,9.26,7.63,7.75,1.59,0.00,6.02
0.00,0.00,0.00,3.60,1.91,5.55,7.78,4.18,0.00,8.70,1.68,0.00,5.18,0.05,6.11,9.06,8.08,7.90,0.77,0.00,5.87
0.00,0.84,2.13,2.73,2.61,6.56,7.15,3.89,0.20,10.40,1.04,0.00,5.18,0.46,7.01,8.95,9.10,8.14,0.00,0.00,6.93
0.00,0.66,2.97,2.26,3.57,6.03,6.35,1.05,1.67,9.73,0.52,1.38,5.05,1.50,6.35,9.55,9.74,7.20,0.00,0.00,5.22
0.00,0.00,3.10,0.62,3.88,5.28,7.55,0.60,1.86,11.25,0.00,2.90,5.95,3.19,8.14,8.97,9.89,7.36,0.00,0.00,4.07
105.03,1.17,3.06,0.00,2.55,6.67,8.07,0.00,1.05,10.37,0.00,2.30,5.44,2.33,6.48,7.99,10.84,7.74,0.01,1.62,4.47
86.64,0.00,3.11,0.00,0.94,7.47,9.11,1.42,2.21,9.54,0.00,2.07,3.32,3.13,5.64,6.79,11.04,7.34,0.00,1.94,4.94
129.19,1.23,3.05,1.93,1.48,9.31,10.26,1.44,2.44,9.69,1.08,0.57,0.00,4.15,3.92,8.08,10.90,6.86,0.22,0.55,2.79
78.53,1.92,1.96,0.77,2.19,10.60,10.37,0.22,2.62,11.37,2.60,0.59,0.00,2.80,4.42,7.60,9.98,7.00,0.00,1.64,3.96
77.68,1.67,0.51,1.32,2.66,9.88,9.64,0.00,2.93,10.19,2.89,0.96,0.00,4.44,4.65,6.90,8.87,5.66,1.56,1.11,3.60
215.53,2.60,0.00,1.87,2.90,11.22,10.21,1.26,4.86,10.05,2.48,0.43,0.00,4.51,4.96,5.20,8.64,5.81,2.31,0.85,4.02
